Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    8.5650   2.1600   8.6000   0.0346   0.4160  0.26000E+03  0.26000E+03  0.00000E+00  0.26085E+03  0.98178E+02  0.00000E+00  0.16267E+03  0.42883E+00
    8.5650   2.1700   8.6000   0.0348   0.4179  0.26027E+03  0.26027E+03  0.00000E+00  0.25988E+03  0.97115E+02  0.00000E+00  0.16276E+03  0.42893E+00
    8.5650   2.1800   8.6000   0.0350   0.4199  0.26055E+03  0.26055E+03  0.00000E+00  0.25896E+03  0.96103E+02  0.00000E+00  0.16285E+03  0.42903E+00
    8.5650   2.1900   8.6000   0.0353   0.4218  0.26083E+03  0.26083E+03  0.00000E+00  0.25805E+03  0.95105E+02  0.00000E+00  0.16294E+03  0.42913E+00
    8.5650   2.2000   8.6000   0.0355   0.4237  0.26111E+03  0.26111E+03  0.00000E+00  0.25716E+03  0.94121E+02  0.00000E+00  0.16303E+03  0.42922E+00
    8.5650   2.2100   8.6000   0.0357   0.4257  0.26139E+03  0.26139E+03  0.00000E+00  0.25628E+03  0.93150E+02  0.00000E+00  0.16313E+03  0.42932E+00
    8.5650   2.2200   8.6000   0.0359   0.4276  0.26168E+03  0.26168E+03  0.00000E+00  0.25542E+03  0.92193E+02  0.00000E+00  0.16322E+03  0.42942E+00
    8.5650   2.2300   8.6000   0.0361   0.4295  0.26196E+03  0.26196E+03  0.00000E+00  0.25456E+03  0.91248E+02  0.00000E+00  0.16331E+03  0.42952E+00
    8.5650   2.2400   8.6000   0.0363   0.4314  0.26225E+03  0.26225E+03  0.00000E+00  0.25372E+03  0.90316E+02  0.00000E+00  0.16341E+03  0.42962E+00
    8.5650   2.2500   8.6000   0.0366   0.4334  0.26255E+03  0.26255E+03  0.00000E+00  0.25290E+03  0.89396E+02  0.00000E+00  0.16351E+03  0.42972E+00
    8.5650   2.2600   8.6000   0.0368   0.4353  0.26284E+03  0.26284E+03  0.00000E+00  0.25210E+03  0.88489E+02  0.00000E+00  0.16361E+03  0.42982E+00
    8.5650   2.2700   8.6000   0.0370   0.4372  0.26314E+03  0.26314E+03  0.00000E+00  0.25131E+03  0.87594E+02  0.00000E+00  0.16372E+03  0.42992E+00
    8.5650   2.2800   8.6000   0.0372   0.4391  0.26344E+03  0.26344E+03  0.00000E+00  0.25080E+03  0.86710E+02  0.00000E+00  0.16409E+03  0.43002E+00
    8.5650   2.2900   8.6000   0.0375   0.4411  0.26374E+03  0.26374E+03  0.00000E+00  0.25003E+03  0.85838E+02  0.00000E+00  0.16419E+03  0.43012E+00
    8.5650   2.3000   8.6000   0.0377   0.4430  0.26405E+03  0.26405E+03  0.00000E+00  0.24927E+03  0.84978E+02  0.00000E+00  0.16429E+03  0.43022E+00
    8.5650   2.3100   8.6000   0.0379   0.4449  0.26436E+03  0.26436E+03  0.00000E+00  0.24852E+03  0.84129E+02  0.00000E+00  0.16440E+03  0.43032E+00
    8.5650   2.3200   8.6000   0.0381   0.4468  0.26467E+03  0.26467E+03  0.00000E+00  0.24779E+03  0.83290E+02  0.00000E+00  0.16450E+03  0.43042E+00
